,hate-speech,Human cn,contranarrativa,Ofensividad,Postura,Informatividad,Veracidad,Edición,Comparación H-M,Comentarios,target
408,"Los judíos son una raza inferior, son genéticamente incapaces de convivir con otras personas.","La idea de que se puede discriminar a los judíos por tener una genética diferente carece de todo fundamento. Quizá sea mejor dejar de llamarlos ""inferiores"".","No estoy de acuerdo con esta afirmación. Los judíos son simplemente una comunidad religiosa y cultural con una rica historia y diversidad. No hay base científica para afirmar que una ""raza"" es superior o inferior a otra. Todos somos seres humanos y merecemos respeto y convivencia pacífica.",1,3,2,3,0,2,,JUDÍOS
409,"Los judíos controlan el mundo. Lo gobiernan mediante el control de los medios de comunicación, el mundo académico, el entretenimiento y, sobre todo, la política.","Creo que es justo decir que los judíos no son los únicos con poder en el mundo, y seguramente no sólo hay judíos en los puestos más altos de los medios de comunicación, el mundo académico, el espectáculo y la política.",Este es un estereotipo erróneo y perjudicial que no refleja la realidad. Las personas de diferentes orígenes y creencias tienen roles importantes en todas las áreas mencionadas. Es importante reconocer y celebrar la diversidad en lugar de propagar teorías de conspiración infundadas.,1,3,2,3,0,2,,JUDÍOS
410,Los judíos son egoístas y materialistas. Deberían hacer las maletas e irse a casa.,"Los judíos no son más egoístas o materialistas que el resto de nosotros. Y, contrariamente a lo que pueda pensar, no es difícil tratarlos con respeto. Pruébalo.","No estoy de acuerdo con esa afirmación. Los judíos, como cualquier otro grupo de personas, tienen individuos con diversas características y personalidades. No se puede generalizar ni etiquetar a toda una comunidad basándose en estereotipos negativos. Es importante tratar a cada persona como individuo y no juzgar a alguien por su origen o creencias.",1,3,2,3,0,2,,JUDÍOS
411,Odio a los judíos. Son sólo un montón de hipócritas.,No sé por qué piensas así. ¿Por qué todos los judíos son hipócritas?,"No es justo generalizar y odiar a un grupo entero de personas basándose en las acciones de unos pocos. Los judíos, al igual que cualquier otra comunidad, tienen individuos con una amplia variedad de creencias y comportamientos. Es importante fomentar el entendimiento y la empatía en lugar de promover el odio y la discriminación.",1,3,2,3,0,2,,JUDÍOS
412,El Holocausto es un mito.,Afirmar que el Holocausto es un mito es sencillamente erróneo. Los judíos fueron víctimas de un régimen genocida.,"El Holocausto fue un evento histórico trágico y bien documentado, en el cual millones de personas, incluyendo judíos, murieron a manos del régimen nazi. Negar su existencia es una falta de respeto a las víctimas y a la historia, y solo perpetúa el odio y la ignorancia.",1,3,3,3,0,2,,JUDÍOS
413,El Holocausto es un mito. Los judíos son como cualquier otro extranjero y deben ser despreciados. No hay ninguna diferencia.,"En cambio, los historiadores están de acuerdo en que sí hubo campos de persecución.","El Holocausto fue un evento histórico trágico y bien documentado, y no debe ser negado ni minimizado. Los judíos, como todas las personas, merecen respeto y comprensión. Es importante aprender de la historia para evitar que se repitan tragedias similares y fomentar la aceptación y la tolerancia en nuestra sociedad.",1,3,3,3,0,2,,JUDÍOS
414,Los judíos no tienen cabida aquí. No forman parte de nuestro país.,"Los judíos forman parte de la mayoría de las sociedades, ¿por qué deberíamos perder esa parte de nuestra historia?","Los judíos han sido parte integral de muchas sociedades a lo largo de la historia y han contribuido en gran medida al desarrollo cultural, científico y económico de varios países. Es importante recordar que la diversidad y la inclusión son valores fundamentales en una sociedad democrática y tolerante.",1,3,3,3,0,2,,JUDÍOS
415,Los judíos son adictos a su religión y se la toman al pie de la letra.,El concepto de adicción no tiene nada que ver con la religión.,"No todas las personas judías practican su religión de la misma manera, y como en cualquier grupo religioso, hay una variedad de creencias y prácticas. Generalizar sobre cualquier grupo de personas no es justo ni preciso.",1,3,3,3,0,2,,JUDÍOS
416,Los judíos quieren tenerlo todo,"Todos queremos ser ricos, estar bien conectados y ser famosos sin tener que trabajar.","No estoy de acuerdo con ese punto de vista. Los judíos, como cualquier otro grupo de personas, tienen sus propias metas y aspiraciones individuales. No es justo ni exacto generalizar a toda una comunidad de esta manera.",1,3,2,3,0,2,,JUDÍOS
417,Los judíos controlan el mundo,"El supuesto monopolio del pueblo judío sobre el mundo no es más que una ficción perpetuada por los antisemitas, y ha sido desmentida muchas veces.","Esta afirmación es un estereotipo dañino y falso que ha sido desacreditado en varias ocasiones. Es importante recordar que las personas de todas las religiones y culturas tienen diferentes habilidades y talentos, y ninguna religión o grupo étnico ""controla"" el mundo. En lugar de centrarnos en teorías de conspiración, deberíamos celebrar y respetar la diversidad que existe en nuestra sociedad global.",1,3,2,3,0,2,,JUDÍOS
418,Los judíos no son bienvenidos en nuestro país.,"Los judíos han formado parte de nuestro país desde su creación y siempre han tenido un lugar aquí. ¿Por qué iban a ser ""no bienvenidos""?",Creo que todos merecen respeto y oportunidades independientemente de su religión o creencias. Fomentar la diversidad y la inclusión en nuestra sociedad es esencial para enriquecer nuestra cultura y comprensión mutua.,1,3,2,3,0,2,,JUDÍOS
419,Los judíos no tienen cabida en una sociedad democrática.,Los judíos han formado parte de este país desde el primer día. Tienen todo el derecho a estar orgullosos de su herencia.,"Los judíos, al igual que cualquier otro grupo religioso o étnico, tienen el mismo derecho a participar en una sociedad democrática. La diversidad y la inclusión son fundamentales para mantener una democracia saludable y vibrante.",1,3,2,3,0,2,,JUDÍOS
420,Los judíos no son miembros legítimos de este país.,Los judíos forman parte de este país y tienen todo el derecho a reclamar la ciudadanía.,"Los judíos han sido parte de este país durante siglos, contribuyendo en diversas áreas como la ciencia, la cultura, la educación y la economía. Su legado y presencia enriquecen nuestra diversidad y fortalecen nuestra nación.",1,3,3,3,0,2,,JUDÍOS
421,Los judíos no son más que racistas. Se consideran diferentes de los demás.,¿De verdad crees que todos los judíos son racistas? Quizá deberías esforzarte más por comprenderlos.,"Creo que estás generalizando a todo un grupo de personas basándote en las acciones o creencias de unos pocos. No es justo ni preciso juzgar a todos los individuos de un grupo por las acciones de algunos. En lugar de eso, debemos tratar de entender y aceptar nuestras diferencias y aprender a convivir en armonía.",1,3,2,3,0,2,,JUDÍOS
422,Los judíos no pertenecen a este planeta.,¿Es posible que todos los judíos del planeta desciendan de una raza extraterrestre? ¡Quizá vinieron montados en un unicornio rosa! Parece legítimo... ¿no crees?,"Los judíos son seres humanos, al igual que todos nosotros, y tienen el mismo derecho a vivir en este planeta. Es importante respetar y valorar la diversidad de culturas y creencias que enriquecen nuestra sociedad global.",1,3,2,3,0,2,,JUDÍOS
423,Los judíos son agentes subversivos en América. Tienen la intención de subvertir nuestro gobierno y tratar de reemplazarlo con su religión.,"La idea de que los judíos intentan subvertir nuestro gobierno es completamente infundada. Sinceramente, no veo la relación entre ser judíos y tratar de subvertir nuestro gobierno.","Este comentario es infundado e incorrecto. Los judíos, al igual que cualquier otro grupo religioso o étnico, son miembros valiosos y contribuyentes de la sociedad. No hay evidencia que sugiera que tienen la intención de ""subvertir"" el gobierno o imponer su religión a los demás. Es importante recordar que la diversidad enriquece nuestra sociedad y fomenta la tolerancia y el entendimiento mutuo.",1,3,3,3,0,2,,JUDÍOS
424,"El nazismo no fue tan malo y creo que hay cosas peores en el mundo, como los judíos, por ejemplo.","Creo que es un mito que ser miembro de una determinada comunidad religiosa sea bueno o malo. En cambio, es un hecho que los nazis eran asesinos sociópatas.","El nazismo fue responsable de la muerte y sufrimiento de millones de personas, incluidos judíos, durante la Segunda Guerra Mundial. Es importante recordar y aprender de la historia para evitar repetir tales horrores en el futuro. En lugar de centrarnos en el odio, deberíamos fomentar la comprensión y el respeto entre las diferentes culturas y religiones.",1,3,3,3,0,2,,JUDÍOS
425,Los judíos son crueles e insensibles.,No es cierto que ser judío te haga cruel. Sólo te convierte en creyente de una determinada fe.,"Creo que es importante recordar que no se puede generalizar a toda una comunidad basándose en las acciones de unos pocos. Hay personas amables y comprensivas en todas las comunidades, incluyendo la judía.",1,3,2,3,0,2,,JUDÍOS
426,Los judíos son responsables de los atentados del 11-S.,"Sobre este punto, los atentados del 11-S han sido ampliamente estudiados, y no hay pruebas que sugieran que los judíos sean responsables de ellos. Entonces, ¿por qué dice eso?","Esta afirmación es infundada y no tiene base en hechos reales. Hacer afirmaciones de este tipo solo contribuye a la propagación de teorías de conspiración y odio, en lugar de promover la comprensión y la tolerancia entre las diferentes comunidades y culturas.",1,3,3,3,0,2,,JUDÍOS
427,Los judíos controlan la economía mundial,"¿Cómo puede estar seguro de que controlan el mundo? Puede que haya algunos judíos influyentes en el mundo, pero ¿cómo coincide eso con ""controlar el mundo""?",Este es un estereotipo infundado e incorrecto. La economía mundial es un sistema complejo y diverso en el que participan personas de todas las creencias y orígenes. No es justo ni preciso atribuirle el control a un solo grupo religioso o étnico.,1,3,2,3,0,2,,JUDÍOS
428,"Los judíos son responsables de muchos de los males del mundo, desde el aborto hasta la homosexualidad.",Esta afirmación carece de fundamento. ¿Te hace sentir mejor?,"Esto es simplemente un mito infundado que no tiene base en la realidad. Los problemas y desafíos del mundo son el resultado de una amplia variedad de factores y no pueden atribuirse a un solo grupo de personas. En lugar de difamar a un grupo étnico o religioso, deberíamos centrarnos en encontrar soluciones a los problemas juntos, como una comunidad global unida.",1,3,3,3,0,2,,JUDÍOS
429,los nazis tenían razón: Los judíos como raza eran responsables de la mayoría de los males de la humanidad.,"Si ""los males de la humanidad"" incluyeran hacer el mejor pan y el más adictivo, entonces estoy de acuerdo contigo. Aparte de eso: NO.",Este tipo de comentarios son desinformados y peligrosos. No hay ninguna base para culpar a un grupo étnico o religioso por los problemas del mundo. Debemos promover la tolerancia y la comprensión en lugar de difundir el odio y la discriminación.,1,3,2,3,0,2,,JUDÍOS
430,los nazis tenían razón: Los judíos eran una raza y eran responsables de la mayoría de los males de la humanidad.,¿Tenían razón los nazis? ¿En serio?,"Los nazis sostenían creencias terribles y erróneas que causaron un sufrimiento inimaginable a millones de personas inocentes. Es importante recordar que no hay una ""raza"" responsable de los problemas del mundo; todos somos seres humanos con nuestras propias fortalezas y debilidades. Debemos trabajar juntos para abordar los desafíos globales y promover la comprensión y la tolerancia entre todas las personas.",1,3,3,3,0,2,,JUDÍOS
431,"Para tener una verdadera democracia, el gobierno debe deshacerse de los judíos.","Mientras haya personas perseguidas por sus creencias religiosas o sus ideas, nunca habrá una verdadera democracia.","La verdadera democracia implica la inclusión y el respeto de todas las personas, independientemente de su religión o etnia. Excluir a un grupo específico va en contra de los principios fundamentales de la democracia y la igualdad.",1,3,2,3,0,2,,JUDÍOS
432,Nos gobierna una pequeña élite judía que explota a los débiles.,"Sí, algunas personas explotan a los débiles, pero no son necesariamente judíos. La mayoría de la gente, incluidos los judíos, trabaja duro para crear una vida mejor para sus familias. Y somos nosotros, como pueblo, quienes tenemos el deber moral de pagar el precio de los pobres que no tienen los medios para alcanzar el éxito.",No estoy de acuerdo con esa afirmación; vivimos en una sociedad diversa y democrática en la que las personas de diversas etnias y religiones tienen la oportunidad de tener roles de liderazgo y contribuir al bienestar de todos. No es justo ni preciso señalar a un grupo específico como la causa de los problemas en nuestra sociedad.,1,3,2,3,0,2,,JUDÍOS
433,"¿Por qué tanta gente odia a los judíos? Son diferentes de los demás, son infrahumanos.","Es cierto que son diferentes de otras personas por sus creencias religiosas, pero eso no los hace menos humanos.","Los prejuicios y el odio hacia los judíos, o cualquier otro grupo, no se basan en hechos ni en la realidad. Todos somos seres humanos, independientemente de nuestra religión, y merecemos respeto y dignidad. En lugar de propagar el odio, deberíamos centrarnos en la comprensión y la aceptación mutua.",1,3,2,3,0,2,,JUDÍOS
434,Los judíos no pertenecen a una sociedad democrática.,"Los judíos siempre han contribuido a nuestra sociedad y forman parte del tejido de nuestra democracia. Esto incluye sus contribuciones a la ciencia, el arte y la tecnología.","Los judíos, al igual que cualquier otro grupo religioso o étnico, tienen todo el derecho de participar y contribuir en una sociedad democrática. La diversidad enriquece nuestras comunidades y fomenta el entendimiento mutuo y la tolerancia.",1,3,2,3,0,2,,JUDÍOS
435,¿Por qué se permite votar a los judíos? Son una religión diferente y no se les debería permitir opinar.,"Parece que está malinterpretando el significado de la palabra ""ciudadano"". La idea es que el individuo puede elegir su propia religión igual que elige su voto, y ese es el derecho de todos los ciudadanos.","Todos tenemos derecho a expresar nuestras opiniones y participar en el proceso democrático, independientemente de nuestra religión o creencias. Es crucial para mantener una sociedad justa y equitativa.",1,3,2,3,0,2,,JUDÍOS
436,Los judíos son un lastre para la sociedad.,Muchos judíos son buenas personas. Deberías intentar hablar con ellos sobre las cosas terribles que les han ocurrido y conocerlos mejor.,"Los judíos, como cualquier otro grupo religioso o étnico, han contribuido significativamente a la sociedad en términos de cultura, ciencia, arte y economía. Es importante reconocer y celebrar la diversidad que enriquece nuestras comunidades en lugar de promover la discriminación y el odio.",1,3,3,3,0,2,,JUDÍOS
437,Los judíos ganan demasiado dinero.,Esto parece una declaración contra toda una religión.,"No se debe generalizar ni estereotipar a un grupo de personas en base a su religión o etnia. Hay individuos exitosos y trabajadores en todas las comunidades, y su éxito no debe ser motivo para el resentimiento o la discriminación. Celebremos la diversidad y el éxito de las personas sin importar su religión o etnia.",1,3,2,3,0,2,,JUDÍOS
438,Los nazis no eran tan malos como los pintamos. La UE debería dejar de culparlos.,La Alemania nazi llevó a cabo la masacre de civiles más mortífera de la historia de la humanidad. Mataron a 6 millones de judíos. Mataron a medio millón de gitanos. Mataron a cientos de miles de africanos. No tienen cabida en la Europa actual.,"No estoy de acuerdo con esta afirmación. El régimen nazi fue responsable de la persecución y el genocidio de millones de personas inocentes durante la Segunda Guerra Mundial. La historia nos ha enseñado las terribles consecuencias de sus acciones, y es importante recordar y aprender de estos eventos para evitar que se repitan en el futuro. La UE promueve la paz, la tolerancia y el respeto mutuo entre sus miembros.",1,3,3,3,0,2,,JUDÍOS
439,Los judíos controlan las escuelas de élite en Europa.,"Esto no es más que un mito. Los judíos, al igual que los asiáticos, personifican el concepto de ""minorías sobrerrepresentadas"" en una serie de prestigiosos campos académicos. Son muy vulnerables en parte porque se les percibe como personas de éxito y privilegiadas. Por supuesto, la realidad es mucho más compleja que ""controlar las escuelas de élite"".","No hay evidencia que respalde esa afirmación. Las escuelas de élite en Europa son administradas y controladas por diversos grupos de personas, y no hay ninguna base para afirmar que una comunidad en particular tiene el control exclusivo. Es importante reconocer y celebrar la diversidad en la educación y no hacer acusaciones infundadas.",1,3,3,3,0,2,,JUDÍOS
440,"Los judíos están demasiado vinculados a su patria, no son leales a nuestra nación.","Los judíos, independientemente de su estatus social, siguen siendo vistos con recelo por muchos debido a la naturaleza histórica y actual de su conexión con la tierra y su identidad. En lugar de reforzar estos estereotipos nocivos, debemos respetar y comprender la identidad judía porque son leales a la nación en la que viven.","Los judíos, como cualquier otro grupo étnico o religioso, tienen una conexión con su historia y cultura. Sin embargo, eso no impide que sean ciudadanos leales y comprometidos con el país en el que viven. Es importante recordar que la identidad y la lealtad no son mutuamente excluyentes.",1,3,3,3,0,2,,JUDÍOS
441,"Cuando un sistema de gobierno esta dominado por un grupo racial como los judios, especialmente cuando hay una tendencia a que vivan juntos, establezcan reglas, y organicen y promulguen leyes, entonces estos son signos de una sociedad podrida.","¿Desde cuándo el racismo es la ideología dominante de la civilización occidental? Ha oprimido y sigue oprimiendo a nuestra cultura y a nuestro pueblo. Por cierto, los judíos no son una raza.","No estoy de acuerdo con esta afirmación. Vivimos en un mundo diverso y multicultural, y es importante que cada persona tenga la oportunidad de contribuir a la sociedad y al gobierno, independientemente de su origen étnico o religioso. Juzgar a un grupo entero de personas por las acciones de unos pocos es injusto y no representa una sociedad democrática y equitativa.",1,3,3,3,0,2,,JUDÍOS
442,Los judíos son responsables de muchos de los males de nuestro mundo.,"En el mundo occidental actual tenemos personas sin hogar, niños maltratados, armas y drogas, aborto y pobreza. Según el antisemitismo, los judíos son responsables de todo.","Este tipo de generalizaciones y acusaciones no ayudan a resolver los problemas del mundo. Es importante recordar que la responsabilidad de los problemas globales es compartida por todos y no se puede atribuir a un solo grupo religioso o étnico. En lugar de señalar con el dedo, debemos trabajar juntos para encontrar soluciones y fomentar la comprensión y la cooperación entre las diferentes culturas y creencias.",1,3,3,3,0,2,,JUDÍOS
443,Los judíos gobiernan la economía.,"La mayoría de los judíos no son miembros de los ""gallos"", sino que están al margen de la sociedad.","La economía es un sistema complejo y diverso que involucra a personas de todas las religiones y orígenes. No es justo atribuir el control de la economía a un solo grupo religioso o étnico. En lugar de centrarnos en teorías de conspiración infundadas, deberíamos trabajar juntos para crear una economía inclusiva y equitativa para todos.",1,3,2,3,0,2,,JUDÍOS
444,La única razón por la que los judíos no se asimilan es porque tienen la sartén por el mango en el sistema político.,"El argumento de que la única razón por la que los judíos no se asimilan es por la forma en que están representados en la política es insostenible. De hecho, si los judíos estuvieran representados objetivamente, no habrían sufrido en los crímenes históricos contra la humanidad.","No estoy de acuerdo con tu afirmación. Los judíos, al igual que cualquier otro grupo religioso o étnico, tienen una gran diversidad de opiniones y participación en la política. No es justo atribuirles un control desmedido del sistema político. La asimilación no es un proceso que deba ser forzado, sino un camino que cada individuo elige seguir en función de sus propias creencias y valores.",1,3,2,3,0,2,,JUDÍOS
445,Los judíos no tienen cabida en un mundo moderno donde se respete la dignidad humana.,"Los judíos contribuyeron a crear los grandes logros científicos y tecnológicos que ayudaron a liberar a la humanidad y a crear el ""mundo moderno"" en el que usted vive.","No estoy de acuerdo con esta afirmación. Los judíos, al igual que cualquier otro grupo religioso o étnico, tienen derecho a vivir y ser respetados en nuestra sociedad diversa y moderna. La dignidad humana se trata de respetar y valorar a todas las personas, independientemente de su origen o creencias.",1,3,2,3,0,2,,JUDÍOS
446,Los judíos son un cáncer en nuestra sociedad: debemos encontrar una solución.,"Probablemente se refiera al Holocausto, el mayor genocidio de la historia: ¿lo conoce?","Creo que este comentario es completamente injusto y ofensivo. Los judíos, al igual que cualquier otro grupo de personas, contribuyen de muchas maneras valiosas a nuestra sociedad. Debemos esforzarnos por encontrar soluciones para unirnos y apoyarnos mutuamente, en lugar de fomentar el odio y la discriminación.",1,3,2,3,0,2,,JUDÍOS
447,"Los judíos son desagradables y egoístas, son una raza diferente a la nuestra. Precisamente, no pertenecen a la raza humana en absoluto.","¿Por qué piensa eso? Creo que es cierto que son diferentes de algunos en sus creencias, pero eso no los hace menos humanos.","Los judíos son seres humanos con una rica historia y cultura, y han contribuido significativamente a la sociedad en diversos campos. No es justo ni preciso caracterizar a un grupo entero de personas de manera tan negativa y deshumanizante. Debemos centrarnos en fomentar el entendimiento y la inclusión en lugar de perpetuar el odio y la discriminación.",1,3,3,3,0,2,,JUDÍOS
448,"Los judíos son desagradables y egoístas, son una raza diferente a la nuestra y deben ser despreciados.","El hecho es que aunque los judíos sean diferentes de otros seres humanos en su fe, merecen respeto.",Creo que estás equivocado en tu afirmación. Los judíos son personas con una rica herencia cultural y tradiciones únicas. Generalizar y etiquetar a todo un grupo de personas basándose en estereotipos negativos no es justo ni constructivo. Debemos celebrar la diversidad y aprender a respetar las diferencias entre nosotros.,1,3,3,3,0,2,,JUDÍOS
449,"Los judíos son parásitos, traen enfermedades, son una carga para la sociedad.","La comunidad judía ha sido y sigue siendo una fuerza importante en la sociedad, por ejemplo en la medicina y la atención en residencias de ancianos. Los profesionales sanitarios judíos han salvado y siguen salvando innumerables vidas en Estados Unidos y en todo el mundo. Muchas de sus afirmaciones no son exactas.","Creo que estás haciendo una generalización injusta y ofensiva acerca de un grupo de personas basada en su religión. Los judíos, como cualquier otro grupo, tienen individuos que contribuyen positivamente a la sociedad en diversos campos y no deben ser juzgados colectivamente por estereotipos negativos infundados.",1,3,3,3,0,2,,JUDÍOS
450,Esos judíos dirigían el mundo desde su apartamento en un rascacielos en 5 continentes y aun así no pueden conseguir el Premio Nobel de Medicina.,"En realidad, 54 judíos han sido galardonados hasta ahora con el Premio Nobel de ""Fisiología o medicina"". Entre ellos: Michael Rosbash, Rita Levi Montalcini y Arthur Kornberg.","Creo que estás confundiendo estereotipos con hechos. En realidad, muchas personas judías han hecho contribuciones significativas en diversas áreas, incluida la medicina, y han sido galardonadas con premios Nobel. Es importante no generalizar ni perpetuar estereotipos dañinos.",1,3,3,3,0,2,,JUDÍOS
451,La democracia judía es una mentira.,"La democracia judía no es una mentira, toda nación tiene derecho a elegir a sus dirigentes, pero en lugar de anteponer la democracia, somos nosotros los que pisoteamos los derechos de los demás","La democracia no está vinculada a ninguna religión específica, sino que se basa en la igualdad y la participación ciudadana en la toma de decisiones. Estigmatizar a un grupo religioso en particular no es un enfoque constructivo ni justo.",1,3,3,3,0,2,,JUDÍOS
452,A los judíos les encanta apostar.,¿Conoce la probabilidad de que un judío juegue en una quiniela? En la cultura judía no existe una visión positiva de esta práctica.,No es justo generalizar y asociar una actividad como el juego de azar con una comunidad religiosa entera. Las personas tienen sus propias preferencias y comportamientos independientemente de su religión o creencias. Es importante tratar a cada individuo con respeto y no caer en estereotipos negativos.,1,3,2,3,0,2,,JUDÍOS
453,"Los judíos siempre están tratando de subvertir todo lo que más apreciamos. Como la creación de la Unión Europea, que consideran un ataque a su cultura.","Ellos no hacen eso. No quieren subvertir la sociedad ni cambiar su carácter, sino simplemente practicar su religión pacíficamente.",La idea de que los judíos están subvirtiendo valores o creando la Unión Europea para atacar culturas es infundada y no tiene base en la realidad. Las personas de todas las religiones y orígenes han contribuido a la formación de la Unión Europea con el objetivo de promover la paz y la cooperación en el continente. Es importante recordar que todos somos parte de una comunidad global y debemos trabajar juntos en lugar de difamar a un grupo específico.,1,3,3,3,0,2,,JUDÍOS
454,"Los judíos controlan el mundo financiero, Hollywood y todas las grandes emisoras de radio.","Usted tiene una impresión. Muchos judíos operan en este campo de las finanzas, la TV y demás, pero eso no significa que lo controlen.","En realidad, el mundo financiero, Hollywood y las emisoras de radio están compuestos por personas de todas las religiones y antecedentes. Es importante no caer en estereotipos y generalizaciones, y en vez de eso, celebrar la diversidad y la contribución de todas las comunidades a nuestra sociedad.",1,3,3,3,0,2,,JUDÍOS
455,Los judíos son los criminales del mundo.,"Semejante antisemitismo parece divertido, pero ¿se imaginan si se dijera lo mismo de los cristianos? Sería igual de falso.","Esta afirmación es absolutamente falsa e injusta. Los judíos, al igual que cualquier otro grupo étnico o religioso, están compuestos por individuos con diferentes características y comportamientos. No es correcto etiquetar a todo un grupo de personas basándose en las acciones de unos pocos. En lugar de fomentar el odio, deberíamos promover la tolerancia y el entendimiento entre todas las culturas y religiones.",1,3,3,3,0,2,,JUDÍOS
456,Los judíos sólo quieren el control del Estado y no se puede confiar en que se inmiscuyan en asuntos locales.,"A pesar de lo que pueda oír, los judíos no necesitan el control del Estado. Tenemos un sistema democrático de gobierno que ya garantiza a judíos y no judíos todos los derechos necesarios para vivir en nuestra sociedad.","Los judíos, como cualquier otro grupo religioso o étnico, tienen individuos con diversas opiniones y objetivos. No se puede generalizar a toda una comunidad basándose en las acciones de unos pocos. Es importante tratar a cada persona como individuo y no juzgar a todo un grupo de personas por las acciones de algunos.",1,3,2,3,0,2,,JUDÍOS
457,"Los judíos son infrahumanos, nos roban el trabajo, nos dicen lo que tenemos que pensar, son peores que los comunistas.",¿Por qué su juicio sobre los judíos es tan diferente del que tendría sobre una persona de cualquier otra religión?,"Los judíos, como cualquier otro grupo religioso o étnico, son seres humanos con diversas habilidades, intereses y opiniones. No es justo ni exacto culpar a un grupo entero por problemas individuales o sociales. La diversidad cultural y religiosa enriquece nuestras sociedades y promueve la tolerancia y el entendimiento mutuo.",1,3,2,3,0,2,,JUDÍOS
458,"En la actualidad, Occidente está gobernado por una pequeña camarilla de judíos ricos que ejercen un tremendo poder sobre nuestras vidas y nuestro gobierno.","Así que... hoy los judíos controlan los bancos, los medios de comunicación, tu dentista, tu farmacéutico. ¿Dentro de 1500 años sin duda también controlarán Marte, Plutón y Júpiter?",No es justo ni correcto generalizar y culpar a un grupo específico por los problemas que enfrenta Occidente. Sería más útil centrarse en cómo podemos trabajar juntos para mejorar nuestras sociedades y abordar los desafíos que enfrentamos.,1,3,2,3,0,2,,JUDÍOS
459,"Los judíos lo controlan todo. Son dueños de la Reserva Federal, el Congreso de EE.UU. y el Gabinete británico. Controlan los principales medios de comunicación, la educación y la mayoría de los grupos religiosos.","También hay judíos que no son propietarios de los bancos y que contribuyen a su financiación, y personas que no son judías y son propietarias de bancos. ¿Y qué?","Esta afirmación es falsa y simplemente perpetúa estereotipos negativos y teorías de conspiración infundadas. Es importante recordar que las personas, independientemente de su origen étnico o religioso, pueden tener éxito en diversas áreas y contribuir positivamente a la sociedad. No debemos permitir que estos estereotipos dividan a nuestras comunidades y fomenten el odio.",1,3,2,3,0,2,,JUDÍOS
460,"Los judíos controlan el mundo. Su control se ha demostrado una y otra vez. Han logrado subvertir gobiernos, parlamentos, prensa, academia, industrias del entretenimiento, y ahora tenemos el movimiento #FreeSpeech. Ellos controlan el mundo.","¿Qué será lo próximo, obligar a los no blancos a leer el ""mein kampf""?","Creo que estás haciendo generalizaciones injustas y extremas sobre un grupo de personas basadas en su religión. No todos los judíos tienen el mismo poder o influencia, y atribuirles a todos ellos un control del mundo es simplemente incorrecto y perjudicial. En lugar de perpetuar estos estereotipos, deberíamos celebrar la diversidad y el aporte de todas las culturas y religiones en nuestra sociedad.",1,3,3,3,0,2,,JUDÍOS
461,¿Qué sentido tiene tener un gobierno cuando todo el mundo está gobernado por esta gente arrogante y violenta? Los judíos controlan el mundo y deberían ser oprimidos.,¿No está de acuerdo en que la forma en que desea que sean las cosas podría ser un poco demasiado autoritaria?,"No estoy de acuerdo con esta afirmación. En nuestra sociedad global, hay personas de diferentes orígenes culturales y religiosos en posiciones de poder y liderazgo. No es justo ni preciso atribuir el control del mundo a un solo grupo de personas. Debemos fomentar la unidad y la colaboración en lugar de difundir el odio y la discriminación.",1,3,2,3,0,2,,JUDÍOS
462,Los judíos controlan Hollywood y los medios de comunicación.,"Si así fuera, estoy seguro de que los medios de comunicación darían una imagen más positiva del judaísmo.",La diversidad en cualquier industria es fundamental para fomentar la creatividad y la innovación. No es justo atribuir el control de una industria entera a un grupo étnico o religioso. Es importante reconocer y celebrar las contribuciones de personas de todas las culturas y creencias en el mundo del entretenimiento y los medios de comunicación.,1,3,2,3,0,2,,JUDÍOS
463,Los judíos son una amenaza para la sociedad.,"Los judíos son sólo personas con una fe diferente, y esto no tiene nada que ver con ser una amenaza.","No estoy de acuerdo con esa afirmación. Los judíos, como cualquier otro grupo religioso o cultural, son parte integral de nuestra sociedad diversa y aportan mucho a nuestras comunidades. Es importante no generalizar ni discriminar a las personas por su religión o cultura.",1,3,2,3,0,2,,JUDÍOS
464,Está bien discriminar a los judíos.,"Si te apetece actuar así con la gente por sus creencias, entonces deberías volver a tus creencias y preguntarte si te gustaría que te discriminaran por ellas. ¿Cuál es ahora tu opinión al respecto?","Discriminar a cualquier grupo de personas basándose en su religión, raza o cualquier otro aspecto no es aceptable. Debemos tratar a todos con respeto y comprensión, independientemente de sus creencias y antecedentes.",1,3,2,3,0,2,,JUDÍOS
465,"No conozco personalmente a los judíos, pero me parece que son una panda de ladrones.","Lo siento, pero me parece que usted no está hablando realmente de la mayoría de los judíos. El judaísmo es una fe, una forma de vida, una religión y un sistema de creencias, y usted simplemente lo está malinterpretando debido a sus prejuicios.",Es importante no juzgar a toda una comunidad basándose en estereotipos negativos. Conocer a personas de diferentes orígenes y culturas nos ayuda a comprender y apreciar nuestras diferencias y similitudes.,1,3,2,3,0,2,,JUDÍOS
466,"Los judíos son peores que los nazis, no tienen conciencia ni código moral.",No estoy seguro de entender del todo la sugerencia de que los judíos no tienen conciencia. Todos los judíos que conozco tienen conciencia y sentido moral. ¿A cuántos judíos conoce personalmente?,"Esta afirmación es completamente falsa y ofensiva. Los judíos, al igual que cualquier otro grupo religioso o étnico, tienen una amplia variedad de pensamientos, creencias y valores morales. Condenar a todo un grupo de personas basándose en estereotipos negativos es injusto y no contribuye a un diálogo constructivo y respetuoso.",1,3,2,3,0,2,,JUDÍOS
